# CSV-File created with merge-csv.com
# -----------------------------------------------------------

adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
adaptiv;10000;2.09;0.35;2000;0.0493;0.1871;0.0013;0.001353
nicht-adaptiv;10000;2.08;0.35;0.35;0.0567;0.1253;0.0015;0.029133
adaptiv;10000;2.08;0.35;2000;0.0548;0.1942;0.0014;0.029117
nicht-adaptiv;100000;2.09;0.22;0.22;0.0293;0.1087;0.0004;0.000121
adaptiv;100000;2.09;0.22;10000;0.0306;0.1213;0.0005;0.00041
nicht-adaptiv;100000;2.09;0.22;0.22;0.0248;0.1076;0.0003;0.003918
adaptiv;100000;2.09;0.22;10000;0.0256;0.1176;0.0004;0.004384
nicht-adaptiv;100000;2.09;0.22;0.22;0.0218;0.1091;0.0002;0.003506
adaptiv;100000;2.09;0.22;10000;0.0225;0.1028;0.0002;0.003537
nicht-adaptiv;100000;2.09;0.22;0.22;0.0213;0.1112;0.0002;0.005516
adaptiv;100000;2.09;0.22;10000;0.0226;0.0998;0.0002;0.005664
nicht-adaptiv;100000;2.09;0.22;0.22;0.018;0.1065;0.0002;0.003145
adaptiv;100000;2.09;0.22;10000;0.0193;0.1269;0.0003;0.003541
nicht-adaptiv;100000;2.09;0.22;0.22;0.0234;0.1059;0.0003;0.000829
adaptiv;100000;2.09;0.22;10000;0.0236;0.1093;0.0002;0.00067
nicht-adaptiv;100000;2.09;0.22;0.22;0.019;0.1059;0.0002;0.001636
adaptiv;100000;2.09;0.22;10000;0.0196;0.0971;0.0002;0.001541
nicht-adaptiv;100000;2.08;0.22;0.22;0.0241;0.1071;0.0003;0.005425
adaptiv;100000;2.08;0.22;10000;0.025;0.1115;0.0002;0.005682
nicht-adaptiv;100000;2.09;0.22;0.22;0.0197;0.1102;0.0002;0.012716
adaptiv;100000;2.09;0.22;10000;0.0205;0.1022;0.0002;0.012688
nicht-adaptiv;100000;2.09;0.22;0.22;0.0278;0.1094;0.0004;0.007331
adaptiv;100000;2.09;0.22;10000;0.0287;0.1144;0.0004;0.007393
